haskellPackages.a50                                          a50-0.5
haskellPackages.AAI                                          AAI-0.2.0.1
haskellPackages.abacate                                      abacate-0.0.0.0
haskellPackages.abc-puzzle                                   abc-puzzle-0.2.1
haskellPackages.abcBridge                                    abcBridge-0.15
haskellPackages.abcnotation                                  abcnotation-1.9.0
haskellPackages.abeson                                       abeson-0.1.0.1
haskellPackages.ABList                                       ABList-0.0.3
haskellPackages.abnf                                         abnf-0.4.1.0
haskellPackages.AbortT-monadstf                              AbortT-monadstf-1.0
haskellPackages.AbortT-mtl                                   AbortT-mtl-1.0.0.1
haskellPackages.AbortT-transformers                          AbortT-transformers-1.0.1.2
haskellPackages.abstract-deque                               abstract-deque-0.3
haskellPackages.abstract-deque-tests                         abstract-deque-tests-0.3
haskellPackages.abstract-par                                 abstract-par-0.3.3
haskellPackages.abstract-par-accelerate                      abstract-par-accelerate-0.3.3
haskellPackages.abt                                          abt-0.1.1.0
haskellPackages.AC-Angle                                     AC-Angle-1.0
haskellPackages.AC-Boolean                                   AC-Boolean-1.1.0
haskellPackages.AC-BuildPlatform                             AC-BuildPlatform-1.1.0
haskellPackages.AC-Colour                                    AC-Colour-1.1.6
haskellPackages.AC-EasyRaster-GTK                            AC-EasyRaster-GTK-1.1.3
haskellPackages.AC-HalfInteger                               AC-HalfInteger-1.2.1
haskellPackages.ac-machine                                   ac-machine-0.2.0.5
haskellPackages.ac-machine-conduit                           ac-machine-conduit-0.1.0.0
haskellPackages.AC-MiniTest                                  AC-MiniTest-1.1.1
haskellPackages.AC-PPM                                       AC-PPM-1.1.1
haskellPackages.AC-Random                                    AC-Random-0.1
haskellPackages.AC-Terminal                                  AC-Terminal-1.0
haskellPackages.AC-VanillaArray                              AC-VanillaArray-1.1.2
haskellPackages.AC-Vector                                    AC-Vector-2.3.2
haskellPackages.AC-Vector-Fancy                              AC-Vector-Fancy-2.4.0
haskellPackages.accelerate                                   accelerate-1.0.0.0
haskellPackages.accelerate-arithmetic                        accelerate-arithmetic-0.1
haskellPackages.accelerate-bignum                            accelerate-bignum-0.1.0.0
haskellPackages.accelerate-cublas                            accelerate-cublas-0.1
haskellPackages.accelerate-cuda                              accelerate-cuda-0.17.0.0
